S.No.,Model,Result Type,Quality Score,Enrichment Fields,Field Count
12,Gemini,3,C,"Price, MOQ, Decoration method, Use case context, Sustainability signal, Size/capacity spec",6
12,Google AI mode,4,C,"Price, MOQ, Decoration method, Use case context, Size/capacity spec",5
13,Chatgpt,4,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
13,Perplexity,2,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
13,Gemini,3,C,"Price, Production time, Use case context, Size/capacity spec",4
13,Google AI mode,4,C,"Price, Decoration method, Use case context, Sustainability signal, Size/capacity spec",5
14,Chatgpt,4,C,"Price, Decoration method, Use case context, Sustainability signal, Size/capacity spec",5
14,Perplexity,2,C,"Price, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
14,Gemini,3,C,"Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",5
14,Google AI mode,2,C,"MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
15,Chatgpt,4,C,"Price, MOQ, Decoration method, Use case context, Size/capacity spec",5
15,Perplexity,2,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
15,Gemini,3,C,"Price, Decoration method, Production time, Use case context, Size/capacity spec",5
15,Google AI mode,4,C,"Price, MOQ, Decoration method, Use case context, Sustainability signal, Size/capacity spec",6
16,Chatgpt,2,C,"MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
16,Perplexity,2,C,"Price, MOQ, Decoration method, Production time, Sustainability signal, Size/capacity spec",6
16,Gemini,3,C,"MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
16,Google AI mode,2,C,"Price, Decoration method, Production time, Sustainability signal",4
17,Chatgpt,4,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
17,Perplexity,2,B,"Decoration method, Use case context, Size/capacity spec",3
17,Gemini,3,B,"Decoration method, Use case context, Size/capacity spec",3
17,Google AI mode,2,C,"MOQ, Decoration method, Use case context, Sustainability signal, Size/capacity spec",5
18,Chatgpt,2,B,"Decoration method, Use case context",2
18,Perplexity,2,C,"Price, MOQ, Decoration method, Use case context, Sustainability signal",5
18,Gemini,3,C,"Decoration method, Production time, Use case context, Size/capacity spec",4
18,Google AI mode,2,C,"MOQ, Decoration method, Use case context, Sustainability signal, Size/capacity spec",5
19,Chatgpt,4,C,"Price, MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",7
19,Perplexity,2,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
19,Gemini,3,C,"Price, MOQ, Decoration method, Production time, Use case context, Size/capacity spec",6
19,Google AI mode,4,C,"Price, MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",7
20,Chatgpt,4,C,"Price, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
20,Perplexity,2,C,"MOQ, Decoration method, Production time, Use case context, Sustainability signal, Size/capacity spec",6
20,Gemini,3,B,"Production time, Use case context, Size/capacity spec",3
20,Google AI mode,4,C,"Price, Decoration method, Production time, Use case context, Size/capacity spec",5
