Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2024-10-28 15:18 UTC,N/A,false,N/A,
SOLIDWORKS: Advanced Engineering Drawings,"If you’re a SOLIDWORKS user looking to take your skills to the next level, join David Antanavige as he shows how to create advanced engineering drawings that can be used in product documentation and manufacturing specifications. David goes way beyond basic views of parts and components and details how to create broken-out section views, alternate position views, and bills of materials. He also shows how to add geometric dimensioning and tolerancing (GD&T) symbols for manufacturing specifications, and finishes the course by showing how to create 2D layouts.",Course,2022-01-06 15:57 UTC,N/A,false,N/A,
Breaking the Anxiety Habit,"<p>For many of us, anxiety is a partner on our journey of life: it is always there. But a helpful reframe could also be the idea that anxiety is a habit we have created. And the good news is that habits are something we can break. In this course, two well respected experts—Dr. Judson Brewer and Charles Duhigg—weigh in on how to recognize the anxiety habit at work, as well as steps you can take to break the habit. </p>

<p>This course was created by Morra Aarons-Mele of The Anxious Achiever. We are pleased to offer this insightful discussion in our library.</p>",Course,2025-03-04 14:50 UTC,N/A,false,N/A,
Developing a Competitive Strategy,"Competitive advantage is not about how good you are but about whether you're faster, better, or cheaper than competitors in your particular market. In this course, global strategy expert Anil Gupta, a professor at the University of Maryland, provides an overview of the sources of competitive advantage. He explains how and why companies are always simultaneously competing in two arenas—onstage and backstage—and how competitive advantage is dynamic; an advantage you have today may not be an advantage tomorrow.",Course,2021-11-14 16:48 UTC,N/A,false,N/A,
Nano Tips for Understanding AI's Impact to Business with Marco Andre,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Marco Andre offers tips on understanding the impact of artificial intelligence in business, and how leaders can  become more productive and creative at work by thinking about AI first.",Course,2025-02-03 03:15 UTC,N/A,false,N/A,
What Is a PMO?,Many businesspeople still don’t understand what a project management office (PMO) is or what it does. Learn about the purpose of a PMO and why it is so important to the success of a modern business in this course with PMP Andy Jordan. Andy compares the different PMO models and identifies the roles a PMO plays in business planning and strategy execution. This brief course can help you apply the concept of a PMO to your own business and identify opportunities to optimize project delivery and achieve better results.,Course,2021-01-10 18:08 UTC,N/A,false,N/A,
How to Think Strategically,"What is strategy, and how can you employ it more effectively in your daily life? In this course, LinkedIn’s own COO, Daniel Shapero, deep dives into his favorite subject and pulls in insights from other leaders. Learn Daniel’s definition and first rule of strategy and find out how to “size the mountain” that you want to climb. Explore the basis of competition and capabilities and discover the benefits of scale.  Discover the benefits and potential pitfalls of disruption, then go over business model architecture and value creation patterns. With the expert insights Daniel presents, get ready to think more strategically every day.",Course,2024-01-10 05:49 UTC,N/A,false,N/A,
Better Relationships and More Sales: Using ChatGPT to Sell,"<p>This course is designed to help sales professionals leverage the power of AI to foster meaningful connections, demonstrate credible expertise, and engage in—as well as sustain—more relevant, profitable conversations.</p><p>Join sales expert Jake Dunlap as he outlines the best strategies to build rapport in a digital-first world. Learn how to create tailored outreach backed by industry and company intel, progress complex opportunities by mapping out workflows to each sales contact, and structure AI-powered, data-driven expansion plans for both new and existing accounts. Whether you're at an early or late stage in your sales relationship, by the end of this course, you’ll be equipped with the skills to strengthen engagement by focusing on client needs.</p>",Course,2024-09-02 04:31 UTC,N/A,false,N/A,
Oracle Cloud Infrastructure Architect Professional,"<p>This course helps you gain strong knowledge in architecting infrastructure using Oracle Cloud Infrastructure services. Building on your skills obtained from the Oracle Cloud Infrastructure Architect Associate course, dive deeper into Oracle Cloud Infrastructure services to design and implement a secure and scalable cloud solution that meets HA and DR requirements. Design secure networks with disaster recovery options, explore advanced database features on OCI, N-Tier Applications, microservices, and serverless architecture. Also ,explore the gamut of new services and features on OCI such as: Kubernetes Networking with OKE, functions, Resource Manager, OCI API, SDK, and CLI OCI Database Service and Autonomous Database Database Security, access to Microsoft Azure, and migrate data, database, and on-premises workloads to OCI.
</p><p>
Note: This course was created by Oracle University. We are pleased to host this content in our library.",Course,2024-09-23 04:24 UTC,N/A,false,N/A,
Pitching Yourself for Opportunity,"<p>Every conversation presents an opportunity to make a great impression. In this course, Jodi Glickman, CEO and Founder of GreatOnTheJob.com, guides you through how to craft a compelling pitch with thought and intention so you can be persuasive, memorable, and able to reach your goals. Jodi shares the fundamental framework of leading with your destination, crafting your backstory, and then connecting the dots.  She covers pitch basics (it’s a dialogue, not a monologue!), cautions against mistakes to avoid, and shares why no two pitches are ever the same. Plus, Jodi offers behind-the-scenes coaching on real-life examples of how to try out, practice, and improve your pitch.</p>",Course,2025-09-21 10:32 UTC,N/A,false,N/A,
Software Architecture: Domain-Driven Design,"It's tough to be agile if you're working with a system that can't handle rapid change. Domain-driven design (DDD)—one of the most effective architectural approaches for both agile environments in general and microservices in particular—can help you build systems that can stand up to change. In this course, Allen Holub provides programmers, software architects, business analysts, and product managers/owners with an overview of this essential architectural process, demonstrating how to use DDD to develop a microservice or other domain-focused system. Alan goes over the basics of DDD (and how it fits with agile), microservices, and bounded contexts and entities. Plus, he compares reactive and declarative systems and details how to approach an event storming session.",Course,2022-04-26 19:54 UTC,N/A,false,N/A,
Aha! Product Management Professional Certificate,"Looking to enhance your product management skills? Increase your knowledge of core product management concepts—with a focus on strategic planning and road mapping—to achieve product success. Get certified to power up your career and bring new expertise to your team.<br><br>This professional certificate is endorsed by <a href=""https://www.aha.io/"" target=""_blank"">Aha!</a>, the leader in product development software. Explore <a href=""https://www.aha.io/roadmapping/guide"" target=""_blank"">these free guides</a> to get expert advice and templates for product managers.",Learning Path,N/A,N/A,true,N/A,
Explore a Career in Product Management,"Product managers have many responsibilities: product strategy, development, and design, as well as product launch and retirement. They work with stakeholders from UX, engineering, and marketing to sales and management. Build the foundation you need to hit the ground running as a new product manager.",Learning Path,2026-05-08 03:46 UTC,N/A,true,N/A,
Becoming a Product Manager: A Complete Guide,"What does a product manager actually do? What kind of product manager roles are out there, and how do they differ from project management? In this course, get answers to those questions—and more—as you learn about the different tools and techniques needed to successfully coordinate all aspects of product development. Instructors Cole Mercer and Evan Kimbrell go over the major phases of the product lifecycle and discuss how approaches like agile, scrum, and kanban actually work in real-world situations. Plus, learn how to address real user needs, approach customer development, run MVP experiments, sketch out mobile apps, work with your stakeholders, and much more.",Course,2026-05-08 03:46 UTC,N/A,true,N/A,
Transitioning to Product Management,"It's possible to jump into a product management role with a nontraditional background. In this course, product manager Cole Mercer shows you how. Cole provides a high-level overview of who a product manager is and what their role entails. He shares ways that you can prepare for this new role—including by building your portfolio and online brand—and provides tips that can help you determine whether to pursue product management at your current company or find a role elsewhere. Plus, discover the best places to look for and apply for a job in this field, how to interview for a product management role, and how to set yourself up for success once you've landed the gig.",Course,2020-05-04 14:02 UTC,N/A,true,N/A,
What Athletes Can Teach Us About Mental Health,"<p>Strong mental skills are foundational to an athlete's career—regardless of their sport. If you have great physical talent but can't manage your mental game effectively, you won't reach your full potential. And the better you manage your mind, the better you're perceived! In this course, performance psychologist Alex Auerbach, who works with the Toronto Raptors, shares practical wisdom to help athletes navigate their mental challenges and maintain high performance. He discusses how to think about performance and influence it positively. Alex also delves into cultivating presence and routine, connecting to motivation and purpose, understanding your ""why,” and dealing with imposter syndrome and failure. He also reveals strategies to maximize your potential and stay present every day. Finally, he shows how your team and environment can affect your performance.</p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2024-11-19 16:38 UTC,N/A,false,N/A,
Harness Your Anxiety for Good,"<p>In this course, New York University neuroscientist Dr. Wendy Suzuki shares practical wisdom to help individuals harness the power of anxiety and turn it into a positive force. She discusses how to understand and influence anxiety positively and delves into the concept of ""good"" anxiety, illustrating how it can enhance performance and drive success. She reveals techniques for cultivating presence and routine, connecting to motivation and purpose, and dealing with common challenges like imposter syndrome. Plus, learn how to leverage anxiety to maximize your potential and stay present every day.
 </p><p>
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-04-21 09:12 UTC,N/A,false,N/A,
Responding to Unreasonable Customer Demands,"<p>Looking to improve your customer service skills? In this course, customer service expert Vince Lopiccola teaches essential strategies to handle unreasonable customer demands effectively. Learn how to maintain professionalism when navigating difficult customer interactions using de-escalation techniques, active listening, and boundary setting. By the end of this course, you'll be prepared to utilize practical strategies to enhance customer satisfaction and maintain composure in challenging situations.</p>
<p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p>                  
<img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" />",Course,2025-02-05 18:21 UTC,N/A,false,N/A,
Introduction to Auditing AI Systems,"<p>AI regulation is here, so you may be wondering how to adapt. And if you’re an enterprise organization, startup, or AI practitioner, you probably already know that there are very few existing training resources for technical teams. In this course, instructor Ayodele Odubela gives you a hands-on overview of how to assess AI for bias and discrimination to create fairer AI systems.</p><p>Explore the fundamentals of the latest regulations governing the use of AI technology, as well as how to navigate the different phases of AI audits in technical terms. Learn how federal discrimination laws can impact AI systems, how to audit both high- and low-risk AI, and how to collect, develop, or purchase benchmark data for auditing and policy review. Ayodele shows you the basics of calculating model fairness and what principles to prioritize and why, including explainability, transparency, compliance, and documentation. Upon completing this course, you’ll be more aware of how to use generative AI tools to mitigate algorithmic bias.</p>",Course,2025-04-02 01:32 UTC,N/A,false,N/A,
Career Advice from Some of the Biggest Names in Business,"What if you could get career advice from the world's most influential thinkers, leaders, and innovators? People who have run the top companies, created the most beloved brands, transformed industries, and changed the world? Now you can. This course brings together the best insights from our collection of interviews with LinkedIn Influencers. CEOs such as Richard Branson, Bill Gates, Indra Nooyi, and Meg Whitman reveal what it takes to get your foot in the door and then work your way up. Discover why Starbucks founder Howard Schultz thinks that conviction is so critical, how Oprah found her vision, and what actress Priyanka Chopra does to find the next challenge. Each interview provides short and thoughtful tips you can use to propel your own career in the right direction.",Course,2021-06-21 19:04 UTC,N/A,false,N/A,
Learning Conversion Copywriting,"Conversion copywriting teaches you how to write compelling marketing copy that converts online prospects to customers. This course walks you through all the basic steps of conversion copywriting. Instructor Joanna Wiebe begins by teaching you how to think about conversion rate optimization from a strategic perspective, and then goes into the three steps of the conversion copywriting process. Joanna teaches you how to borrow messages from customers, including how to define, find, and research the voice of the customer (VOC). She explains how to find the what and how in your VOC, then what to do with your VOC. Next, she takes you through how to use proven frameworks to organize messages on a page, as well as how to write a first draft for web and email copy. Once your first draft is complete, Joanna shows you how to use copywriting formulas to increase the persuasive power of your headlines. Plus, learn how to make conversion copywriting an ongoing practice.",Course,2023-11-19 08:20 UTC,N/A,true,N/A,
Marketing Foundations: Consumer Behavior,"Great marketers know how their customers think and act. They pay extra attention to consumer behavior: the way people buy and use products and services. Understanding consumer behavior can help you crawl inside the mind of a customer and be more effective at marketing, design, packaging, product development, and every other initiative that impacts your buyer. Join marketing professor Drew Boyd for a look at how psychological factors such as motivation, appetite for risk, self-perception, and social status impact buying decisions. Drew also discusses how individual consumers buy products and services as compared to organizations, and explains how to apply your findings to your next marketing campaign.",Course,2026-05-20 03:01 UTC,2024-02-13 20:46 UTC,false,N/A,
Critical Thinking for More Effective Communication,"In order to be a successful leader, clear communication is a key aspect to your effectiveness. After a conversation with you, do people feel clear on your position, or confused? Are they confident that you’ll welcome different perspectives, or are they uncomfortable voicing disagreement with you? In this course, Becki Saltzman shows how critical thinking improves your clarity of thought and conversation confidence, and explains how and when to communicate using critical thinking. Becki gives advice on how to construct good arguments and recognize bad ones, how to maintain productive communication even when you disagree, and how to recognize the difference between debating and negotiating. Whether you’re a seasoned leader or new to a leadership role, by the end of this course you’ll have new ways to communicate more effectively through critical thinking.",Course,N/A,N/A,true,N/A,
Marketing: Conversion Rate Optimization,"<p>Convert more of your existing traffic into paying customers or qualified leads through conversion rate optimization. This course teaches marketers and business owners how to best approach the often intimidating world of website testing and optimization. Learn how to use data, surveys, and testing to better understand your target audience and website visitors. See how to best prioritize testing opportunities, create great test hypotheses, and then set up and run tests. Finally, discover how to analyze the test results to draw actionable insights that can have immediate impact on your bottom line. This is a great course for anyone who wants to improve conversions of all types, filled with case studies and personal insights acquired from instructor Jim Huffman's years of experience as an in-demand growth consultant. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2024-01-11 07:27 UTC,2023-11-17 20:40 UTC,false,N/A,
Automate and Innovate with Chat GPT AI Agents and Zapier,"Explore the future of work productivity: leveraging AI agents in tandem with Zapier. In this course, instructor Jules White shows you how to use ChatGPT, AI agents, and Zapier to build automation tools that can handle complex tasks, boost your efficiency, and help you get more done faster with less stress. Along the way, gather insights on how to harness these tools to streamline your workflow and focus on what matters most. Upon completing this course, you’ll be prepared to automate and innovate, transforming the way you work to achieve your goals.",Course,2025-08-29 14:44 UTC,N/A,false,N/A,
Demystifying ChatGPT and Generative AI: What Every Professional Needs to Know,"Unlock the secrets of AI in this course with instructor Jules White. This course breaks down complex AI concepts into simple, easy-to-understand lessons, making generative AI accessible to everyone. Learn how to effectively integrate ChatGPT into your professional toolkit, boosting productivity, creativity, and innovation. Business leaders will gain strategic insights to effectively innovate and drive their organizations forward. Whether you're new to AI or looking to enhance your understanding, this course provides the essential knowledge and skills you need to stay ahead in the evolving digital landscape.",Course,2025-04-01 12:45 UTC,N/A,false,N/A,
Hands-On AI: Build Your Own GPTs,"Discover how to build AI applications without any coding. Using English as your new programming language, explore crafting advanced prompts, creating comprehensive knowledge bases, and personalizing model outputs for specific tasks. Join Alina Zhang, a seasoned data scientist, to create three custom GPTs: KK, Sun Tzu, and Lilis. Dive into innovative techniques, including the Pentagram framework for prompt engineering, chain-of-thought, few-shot learning, user intent detection, and strategies to safeguard against prompt injection attacks.",Course,2024-07-26 15:20 UTC,N/A,false,N/A,
Learning Subnetting,"IP subnetting is one of the most challenging, yet most critical, skills for IT professionals to acquire. In this course, you can learn the basics of IPv4 addressing and master the skill of IP subnetting. Explore the structure of an IPv4 address and the difference between public and private IPv4 addresses. Learn how to convert between binary and decimal numbers. In these chapters, instructor Kevin Wallace explains how to determine the subnet bits you need in order to create a specific number of subnets, how many host bits are required to support a specific number of hosts, and the range of usable addresses for each subnet. Plus, learn how to troubleshoot incorrectly assigned IPv4 addresses and use Classless Interdomain Routing to efficiently summarize IP addresses.",Course,2025-01-08 12:01 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:4517613,Course,2024-07-22 17:35 UTC,N/A,false,N/A,
Advanced Product Marketing,"At a basic level, product marketing is about determining who your users are, what they need, and how to align your products with those needs. In this course, professor, speaker, and product marketing guru Jon Chang shares advanced techniques designed to help product marketers accomplish this central goal—ensuring that a product resonates with its intended audience—with finesse. Learn how to leverage different research methodologies to define your audience and match products to their needs, as well as how to create a go-to-market strategy. Plus, get tips for collaborating effectively with different stakeholders, including product managers, marketers, and other researchers.",Course,2021-12-21 16:08 UTC,N/A,false,N/A,
Photoshop One-on-One: Mastery,"Discover how to be the best Photoshop user you know with reigning expert Deke McClelland. In this final installment of his comprehensive three-part <i>One-on-One</i> series, Deke explains how Photoshop works at its highest level. Get around Photoshop more quickly by loading dozens of new and revised keyboard shortcuts. Experience the power of Smart Filters, dynamic effects, and such seemingly mundane (but secretly awesome) topics as blur and noise. Discover how to mask images with the Calculations command, and manipulate paths with the Pen tool. Learn how to assemble 360° panoramas and work with such exotic features as layer comps, artboards, and actions. Leave each chapter with a sense of real accomplishment that you can apply to your own marketable, eye-popping artwork.",Course,2024-04-19 15:44 UTC,N/A,false,N/A,
Excel 2016 Essential Training,"Start mastering Excel, the world's most popular and powerful spreadsheet program, with Excel expert Dennis Taylor. Learn how to best enter and organize data, perform calculations with simple functions, work with multiple worksheets, format the appearance of your data and cells, and build charts and PivotTables. Other lessons cover the powerful IF, VLOOKUP, and COUNTIF family of functions; the Goal Seek, Solver, and other data analysis tools; and automating tasks with macros.",Course,2020-04-27 15:13 UTC,N/A,false,N/A,
"Generative AI, Recruiting, and Talent Acquisition","<p>Generative AI will have profound effects on fields like recruiting and talent acquisition. But how quickly will these changes take shape? And what can you do to prepare for the future of work?</p><p>Join strategic thinker and HR expert Glen Cathey as he explores what’s happening right now to drive change in the world of recruiting and talent acquisition and what’s likely to happen in the future as generative AI and automation ripples across the space. Learn about how each step of the recruiting process is changing to optimize the efficiency and effectiveness of your role. Find out why and how people looking for a new job are turning to generative AI, and what that means for them as well as for recruiters. Along the way, Glen offers strategic advice on navigating this complex, ever-evolving space as a hiring manager or recruiting lead, with tips you can put into practice to evaluate possible vendor solutions, thoughtfully incorporate new cutting-edge tools, and much more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/generative-ai-for-recruiting-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,2025-03-24 02:54 UTC,N/A,false,N/A,
Body Language for Leaders (2015),"Research shows that when your verbal and nonverbal signals are out of alignment, people are forced to choose between what they hear and what they see. And subconsciously, they'll believe your body language. In this course, workplace body-language expert Carol Kinsey Goman, PhD, reveals how body language is perceived and often misread, and shares the six nonverbal signals you need to know to make a positive first impression. She also discusses the importance of body language for leaders, and shows how you can establish leadership presence. Lastly, she provides simple and effective tips on communicating with gestures and stance.",Course,2017-10-24 03:09 UTC,N/A,true,N/A,
A Day In The Life of a Data Scientist (2020),"The best way to understand what it's actually like to work as a data scientist is to spend the day with one. In this course, you can follow along with one day in the life of real data scientists working on real projects. Explore exactly what data science work looks like—getting on-the-job insights to help prepare you to tackle the next challenge or choose your next data science role. Discover how working professionals handle time management, starting from the very first hour of the workday, and tackle major tasks, such as exploring the data, mitigating bias, and presenting their findings. Another thing that separates pros from the rest is process and in chapter three, you can see how data scientists build automation, cross-functional collaboration, and other techniques into their workflows. Plus, learn how to choose and use tools, structure and work well in teams, and serve your clients.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2022-02-08 22:25 UTC,N/A,false,N/A,
RAG Tuned AIs with the Cohere API Platform,Explore the Cohere API platform and its powerful tools for fine-tuning AI models with Retrieval-Augmented Generation (RAG) techniques. Starting with an overview of Cohere’s unique cloud-agnostic approach with their own fast release models focused on business needs. Learn to build and optimize AI models that are deployable across many cloud environments. Explore Cohere Developer tools and experiment with model customization and discover tools for building AI-driven applications.,Course,2024-11-30 07:46 UTC,N/A,false,N/A,
Microsoft Azure Solutions Architect Expert (AZ-305) Cert Prep: 3 Design Business Continuity Solutions by Microsoft Press,"<p>Begin your preparations for the Microsoft Azure Solutions Architect Expert (AZ-305) Exam with this series of courses. In this third course, learn about Azure backup and site recovery. Get an introduction to disaster recovery principles. Explore Azure Backup for VMs and Azure Site Recovery. Plus, go over Azure SQL Backup options.</p>
 
<p>This course was created by Microsoft Press and Brett Hargreaves. We are pleased to host this training in our library.</p>",Course,2024-10-07 20:24 UTC,N/A,false,N/A,
Skills for Your First 90 Days as a New Manager,"<p>It's normal for new managers to feel overwhelmed when starting a leadership role. This course with leadership development coach Chelsea Jay teaches new and aspiring managers how to set themselves (and their team) up for long-term success. Chelsea covers important topics like: understanding and defining your leadership style; developing trust-based relationships with your team; establishing effective communication practices and routines; managing up as a new leader; and managing your career while managing others.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/succeeding-as-a-new-manager-professional-certificate-by-linkedin-learning?u=104"">Professional Certificate</a> from LinkedIn Learning.</p>",Course,N/A,N/A,true,N/A,
J.T. O'Donnell on Making Recruiters Come to You,"Learn what recruiters look for, and how to help them find you. J.T. O'Donnell is a LinkedIn Influencer and an expert on job search and recruiting. She helps job seekers understand the modern job search and make the most of recruiters, specifically how to use recruiters in the LinkedIn marketplace, how to understand the role of the resume and cover letters in the job search process, and how to connect and follow up with a recruiter.<br><br>
This course will help job seekers tap a valuable source by showing them how to connect more effectively with leading recruiters in their industries.",Course,N/A,N/A,true,N/A,
The Practicing Photographer,"<p>In <i>The Practicing Photographer</i>, photographer and teacher Ben Long shares a weekly serving of photographic instruction and inspiration. Each installment focuses on a photographic shooting scenario, a piece of gear, or a software technique. Each one concludes with a call to action designed to inspire you to pick up your camera (or your mouse or smartphone) to try the technique for yourself.</p><p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-02-25 22:04 UTC,N/A,false,N/A,
Tableau and R for Analytics Projects (2019),"On its own, Tableau is a powerful tool that helps professionals analyze, display, and generally make sense of the data at their fingertips. With the addition of R—a free, open-source language for data science—you can glean even more insights from your data. In this course, learn how to combine the analytical strengths of R with the visualization power of Tableau to analyze and present data more effectively. Instructor Curt Frye demonstrates how to install R and RServe; create a connection between Tableau and R; perform several types of analyses in R, from linear regression to cluster identification; and incorporate those analyses into Tableau visualizations.",Course,2022-04-24 14:30 UTC,N/A,false,N/A,
The Leap to Leader: Go from Management to Leadership,"<p>If you’re angling to make the jump to a leadership position in your organization, it can be a daunting task. In his book, <i>The Leap to Leader: How Ambitious Managers Make the Jump to Leadership</i>, Adam Bryant details the insights he gained from over a decade’s worth of interviews with hundreds of CEOs. In this audiobook summary, Adam—the creator and former author of the <i>New York Times'</i> “Corner Office” column—shares some key leadership lessons from his book, and provides a roadmap for anyone looking to move into a leadership role.
</p><p>
Note: This audiobook summary was created by Next Big Idea Club. We are pleased to host this content in our library.",Course,2024-07-07 02:08 UTC,N/A,false,N/A,
